part_id,date,location,e1,e2,age,condition_framing,order_partner,order_game,pup,game,condition_partner,abandon,prompt,we,final sample,notes
weco_final50,3/28/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,bunny,bucket,individual,1,2,3,1,
weco_final50,3/28/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,cat,box,group,1,1,3,1,
weco_final51,4/4/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,bunny,bucket,individual,1,1,2,1,
weco_final51,4/4/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,cat,box,group,1,1,3,1,
weco_final52,4/10/23,zoom,maya,kaelin,2,you,individual_first,bucket_first,bunny,bucket,individual,1,2,95,1,
weco_final52,4/10/23,zoom,maya,kaelin,2,you,individual_first,bucket_first,cat,box,group,1,1,95,1,
weco_final53,4/10/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,bunny,bucket,individual,1,1,95,1,
weco_final53,4/10/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,cat,box,group,1,1,95,1,
weco_final54,4/10/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,bunny,bucket,individual,1,1,2,1,"e2 said ""box"" instead of ""bucket"" throughout first round "
weco_final54,4/10/23,zoom,maya,kaelin,3,you,individual_first,bucket_first,cat,box,group,1,1,2,1,
weco_final55,5/20/23,zoom,maya,arod,3,you,individual_first,bucket_first,cat,bucket,individual,1,1,95,1,
weco_final55,5/20/23,zoom,maya,arod,3,you,individual_first,bucket_first,bunny,box,group,1,1,2,1,
weco_final56,5/20/23,zoom,maya,arod,2,you,individual_first,bucket_first,cat,bucket,individual,1,2,95,1,
weco_final56,5/20/23,zoom,maya,arod,2,you,individual_first,bucket_first,bunny,box,group,1,1,2,1,
weco_final57,5/20/23,zoom,maya,arod,2,you,individual_first,bucket_first,cat,bucket,individual,1,1,2,1,
weco_final57,5/20/23,zoom,maya,arod,2,you,individual_first,bucket_first,bunny,box,group,1,1,2,1,
weco_final58,5/25/23,zoom,maya,arod,3,you,individual_first,bucket_first,cat,bucket,individual,1,1,95,1,
weco_final58,5/25/23,zoom,maya,arod,3,you,individual_first,bucket_first,bunny,box,group,1,1,2,1,
weco_final59,5/25/23,zoom,maya,arod,2,you,individual_first,bucket_first,cat,bucket,individual,1,4,2,1,
weco_final59,5/25/23,zoom,maya,arod,2,you,individual_first,bucket_first,bunny,box,group,1,4,2,1,
weco_final60,5/27/23,zoom,maya,arod,3,you,individual_first,bucket_first,cat,bucket,individual,1,1,95,1,
weco_final60,5/27/23,zoom,maya,arod,3,you,individual_first,bucket_first,bunny,box,group,1,1,95,1,
weco_final61,5/27/23,zoom,maya,arod,2,you,individual_first,box_first,bunny,box,individual,0,95,95,1,
weco_final61,5/27/23,zoom,maya,arod,2,you,individual_first,box_first,cat,bucket,group,1,1,95,1,
weco_final62,5/27/23,zoom,maya,arod,3,you,individual_first,box_first,bunny,box,individual,1,4,2,1,
weco_final62,5/27/23,zoom,maya,arod,3,you,individual_first,box_first,cat,bucket,group,1,1,2,1,
weco_final63,5/31/23,zoom,maya,arod,3,you,individual_first,box_first,bunny,box,individual,1,1,2,0,parent followed up on first prompt
weco_final63,5/31/23,zoom,maya,arod,3,you,individual_first,box_first,cat,bucket,group,1,1,2,0,parent followed up on first prompt
weco_final64,5/31/23,zoom,maya,arod,2,you,individual_first,box_first,bunny,box,individual,1,2,95,1,
weco_final64,5/31/23,zoom,maya,arod,2,you,individual_first,box_first,cat,bucket,group,1,1,95,1,
weco_final65,5/31/23,zoom,maya,arod,3,you,individual_first,box_first,bunny,box,individual,1,2,2,1,
