participant_id,sex,age,race_recoded,income_recoded,education,e1_recoded,condition_discourse,condition_framing,location,exclude_reason,ref_item,ref_ling
final36,m,4.816438356164384,White,50k-59k,college,alissa,conventional,we,0,included,ball,np_mod
final37,m,4.1726027397260275,White,60k-69k,graduate,alissa,conventional,you,0,exp_error,-,-
final37,m,4.1726027397260275,White,60k-69k,graduate,alissa,conventional,you,0,exp_error,-,-
final38,f,4.090410958904109,NA,>70k,graduate,alissa,conventional,you,0,included,stick,proform
final38,f,4.090410958904109,NA,>70k,graduate,alissa,conventional,you,0,included,ball,proform
final39,f,4.663013698630137,White,NA,college,alissa,idiosyncratic,you,1,included,stick,np_unmod
final39,f,4.663013698630137,White,NA,college,alissa,idiosyncratic,you,1,included,ball,np_unmod
final40,m,4.126027397260274,White,NA,college,alissa,idiosyncratic,you,1,shy,-,-
final40,m,4.126027397260274,White,NA,college,alissa,idiosyncratic,you,1,shy,-,-
final41,f,4.076712328767123,NA,NA,NA,alissa,idiosyncratic,you,1,included,stick,no_ling_ref
final41,f,4.076712328767123,NA,NA,NA,alissa,idiosyncratic,you,1,included,ball,np_unmod
final42,m,4.16986301369863,Biracial,>70k,graduate,alissa,conventional,we,0,included,stick,no_ling_ref
final42,m,4.16986301369863,Biracial,>70k,graduate,alissa,conventional,we,0,included,ball,np_unmod
final43,f,4.008219178082192,White,50k-59k,college,alissa,conventional,we,1,included,ball,np_mod
final43,f,4.008219178082192,White,50k-59k,college,alissa,conventional,we,1,included,stick,np_mod
final44,f,3.9452054794520546,Latine,NA,NA,alissa,conventional,you,1,wrong_age,-,-
final44,f,3.9452054794520546,Latine,NA,NA,alissa,conventional,you,1,wrong_age,-,-
final45,f,4.583561643835616,White,>70k,graduate,maya&naomi,conventional,we,0,shy,-,-
final45,f,4.583561643835616,White,>70k,graduate,maya&naomi,conventional,we,0,shy,-,-
final46,f,4.46027397260274,NA,NA,NA,alissa,idiosyncratic,you,1,shy,-,-
final46,f,4.46027397260274,NA,NA,NA,alissa,idiosyncratic,you,1,shy,-,-
final47,f,4.208219178082191,NA,NA,NA,alissa,idiosyncratic,you,1,included,stick,np_unmod
final47,f,4.208219178082191,NA,NA,NA,alissa,idiosyncratic,you,1,included,ball,np_unmod
final48,m,4.147945205479452,White,>70k,graduate,alissa,idiosyncratic,we,0,included,ball,no_ling_ref
final48,m,4.147945205479452,White,>70k,graduate,alissa,idiosyncratic,we,0,included,stick,no_ling_ref
final49,m,4.9150684931506845,White,NA,graduate,alissa,idiosyncratic,you,1,included,ball,np_unmod
final49,m,4.9150684931506845,White,NA,graduate,alissa,idiosyncratic,you,1,included,stick,np_mod
final50,m,4.120547945205479,White,NA,some college,alissa,idiosyncratic,we,1,included,ball,np_unmod
final50,m,4.120547945205479,White,NA,some college,alissa,idiosyncratic,we,1,included,stick,np_unmod
final51,m,4.326027397260274,White,>70k,college,maya&naomi,conventional,you,1,included,stick,no_ling_ref
final51,m,4.326027397260274,White,>70k,college,maya&naomi,conventional,you,1,included,ball,np_unmod
final52,f,4.30958904109589,White,NA,NA,alissa,conventional,we,1,included,ball,np_unmod
final52,f,4.30958904109589,White,NA,NA,alissa,conventional,we,1,included,no_ref,0
final53,f,4.038356164383561,Biracial,>70k,graduate,alissa,conventional,we,2,included,stick,no_ling_ref
final53,f,4.038356164383561,Biracial,>70k,graduate,alissa,conventional,we,2,included,ball,np_unmod
final54,m,4.252054794520548,NA,NA,graduate,alissa,conventional,you,2,included,ball,np_unmod
final54,m,4.252054794520548,NA,NA,graduate,alissa,conventional,you,2,included,stick,np_unmod
final55,m,4.2684931506849315,Biracial,>70k,graduate,alissa,idiosyncratic,you,0,included,ball,np_unmod
final55,m,4.2684931506849315,Biracial,>70k,graduate,alissa,idiosyncratic,you,0,included,stick,np_unmod
final56,f,4.876712328767123,White,NA,graduate,alissa,idiosyncratic,we,1,included,stick,np_unmod
final56,f,4.876712328767123,White,NA,graduate,alissa,idiosyncratic,we,1,included,ball,np_unmod
final57,m,4.093150684931507,White,>70k,college,alissa,idiosyncratic,you,1,included,ball,proform
final57,m,4.093150684931507,White,>70k,college,alissa,idiosyncratic,you,1,included,stick,proform
final58,m,4.4082191780821915,White,>70k,graduate,alissa,idiosyncratic,we,1,included,ball,np_unmod
final58,m,4.4082191780821915,White,>70k,graduate,alissa,idiosyncratic,we,1,included,stick,proform
final59,m,4.4082191780821915,White,>70k,graduate,alissa,idiosyncratic,you,1,included,stick,no_ling_ref
final59,m,4.4082191780821915,White,>70k,graduate,alissa,idiosyncratic,you,1,included,ball,no_ling_ref
final60,m,4.652054794520548,White,>70k,graduate,alissa,idiosyncratic,we,1,included,ball,np_mod
final60,m,4.652054794520548,White,>70k,graduate,alissa,idiosyncratic,we,1,included,stick,np_mod
final61,m,4.767123287671233,NA,NA,NA,alissa,idiosyncratic,you,1,included,stick,np_unmod
final61,m,4.767123287671233,NA,NA,NA,alissa,idiosyncratic,you,1,included,ball,proform
final62,m,4.413698630136986,White,NA,college,alissa,idiosyncratic,we,1,included,ball,np_unmod
final62,m,4.413698630136986,White,NA,college,alissa,idiosyncratic,we,1,included,stick,np_unmod
final63,m,4.016438356164383,White,>70k,college,alissa,idiosyncratic,we,1,shy,-,-
final63,m,4.016438356164383,White,>70k,college,alissa,idiosyncratic,we,1,shy,-,-
final64,m,4.109589041095891,NA,NA,NA,alissa,idiosyncratic,you,1,idiosyncratic,-,-
final64,m,4.109589041095891,NA,NA,NA,alissa,idiosyncratic,you,1,idiosyncratic,-,-
final65,f,4.010958904109589,White,20k-39k,graduate,jadelyn,idiosyncratic,we,0,shy,-,-
final65,f,4.010958904109589,White,20k-39k,graduate,jadelyn,idiosyncratic,we,0,shy,-,-
